latitude,longitude,start_timestamp,end_timestamp
55.7963799,12.5357485,2023-06-10T09:13:36.493Z,2023-06-10T17:22:36.023Z
55.698545,12.574579,2023-06-10T18:06:37.658Z,2023-06-10T20:46:35.967Z
55.7963799,12.5357485,2023-06-10T21:26:46.850Z,2023-06-11T10:48:04.254Z
55.7821702,12.5118897,2023-06-11T10:58:42.303Z,2023-06-11T14:05:42.146Z
55.7963799,12.5357485,2023-06-11T14:18:53.898Z,2023-06-12T06:40:52.996Z
55.7821702,12.5118897,2023-06-12T06:52:44.753Z,2023-06-12T07:03:07.790Z
55.7855742,12.521381,2023-06-12T07:07:10.901Z,2023-06-12T13:39:28.243Z
55.7821702,12.5118897,2023-06-12T13:52:52.295Z,2023-06-12T19:25:54.342Z
55.7829162,12.5238415,2023-06-12T19:38:20.242Z,2023-06-12T19:54:02.313Z
55.7821702,12.5118897,2023-06-12T20:04:33.106Z,2023-06-13T08:41:33.168Z
55.7855742,12.521381,2023-06-13T08:53:52.297Z,2023-06-13T14:58:40.494Z
55.7821702,12.5118897,2023-06-13T15:00:42.540Z,2023-06-13T15:09:04.450Z
55.7999324,12.4530473,2023-06-13T15:25:29.583Z,2023-06-13T16:27:49.708Z
55.811651,12.4736901,2023-06-13T16:34:09.485Z,2023-06-13T19:34:41.953Z
55.7916416,12.5431458,2023-06-13T19:50:03.209Z,2023-06-13T23:03:26.639Z
55.7963799,12.5357485,2023-06-13T23:15:45.346Z,2023-06-14T07:33:36.093Z
55.7855742,12.521381,2023-06-14T07:54:36.952Z,2023-06-14T08:30:22.759Z
55.7821702,12.5118897,2023-06-14T08:36:53.899Z,2023-06-14T09:56:46.547Z
55.7787865,12.5923924,2023-06-14T10:23:15.882Z,2023-06-14T12:10:39.756Z
55.7855742,12.521381,2023-06-14T12:30:12.932Z,2023-06-14T13:36:38.470Z
55.7821702,12.5118897,2023-06-14T13:44:37.261Z,2023-06-14T15:14:29.373Z
55.7855742,12.521381,2023-06-14T15:28:53.739Z,2023-06-14T18:33:13.544Z
55.7821702,12.5118897,2023-06-14T19:13:25.309Z,2023-06-15T09:10:36.260Z
55.7829162,12.5238415,2023-06-15T09:14:45.683Z,2023-06-15T10:07:28.020Z
55.7251762,12.4206365,2023-06-15T11:01:57.193Z,2023-06-15T11:29:51.194Z
55.7829162,12.5238415,2023-06-15T11:46:41.336Z,2023-06-15T12:44:22.255Z
55.7821702,12.5118897,2023-06-15T12:52:36.951Z,2023-06-15T15:41:05.855Z
55.775741,12.521402,2023-06-15T15:51:53.301Z,2023-06-15T16:04:07.465Z
55.7821702,12.5118897,2023-06-15T16:16:23.269Z,2023-06-15T17:12:50.649Z
55.7715118,12.5024484,2023-06-15T17:18:57.118Z,2023-06-15T17:25:08.174Z
