latitude,longitude,start_timestamp,end_timestamp,duration
45.5741292,6.7789451,2022-01-24T13:37:00.561Z,2022-01-24T15:46:46.713Z,7786.152
45.5715484,6.7850275,2022-01-24T15:52:57Z,2022-01-24T17:34:01.621Z,6064.621
45.5741292,6.7789451,2022-01-24T17:36:02Z,2022-01-25T08:05:48.337Z,52186.337
45.5541093,6.7622018,2022-01-25T08:39:43.269Z,2022-01-25T08:44:53.255Z,309.986
45.5505138,6.7865018,2022-01-25T08:52:18.262Z,2022-01-25T08:58:25.644Z,367.382
45.5725545,6.7802846,2022-01-25T09:18:03.335Z,2022-01-25T09:50:56.988Z,1973.653
45.5715484,6.7850275,2022-01-25T10:47:27.788Z,2022-01-25T12:44:55Z,7047.212
45.5741292,6.7789451,2022-01-25T12:53:36.236Z,2022-01-25T14:49:02.136Z,6925.9
45.5725676,6.7780143,2022-01-25T14:51:03.149Z,2022-01-25T15:11:13.817Z,1210.668
45.5741292,6.7789451,2022-01-25T15:13:14.830Z,2022-01-26T09:26:42.233Z,65607.403
45.5741292,6.7789451,2022-01-26T13:11:51.359Z,2022-01-26T14:14:26Z,3754.641
45.5715484,6.7850275,2022-01-26T14:21:53.281Z,2022-01-26T16:43:55.930Z,8522.649
45.5741292,6.7789451,2022-01-26T17:00:27.312Z,2022-01-26T17:22:01.133Z,1293.821
45.5715484,6.7850275,2022-01-26T17:27:24.088Z,2022-01-26T17:35:28.505Z,484.417
45.5741292,6.7789451,2022-01-26T17:44:01.837Z,2022-01-26T19:17:19.253Z,5597.416
45.5760212,6.7800804,2022-01-26T19:21:27.106Z,2022-01-27T08:18:39.315Z,46632.209
45.5741292,6.7789451,2022-01-27T08:18:39.315Z,2022-01-27T09:15:09.871Z,3390.556
45.5716411,6.7780509,2022-01-27T09:17:10.891Z,2022-01-27T09:25:19.252Z,488.361
45.5643862,6.8242874,2022-01-27T11:05:44.467Z,2022-01-27T11:16:12.379Z,627.912
45.5716411,6.7780509,2022-01-27T12:26:30.654Z,2022-01-27T12:34:33.715Z,483.061
45.550126,6.8103488,2022-01-27T13:00:56.370Z,2022-01-27T13:06:56.984Z,360.614
45.5741292,6.7789451,2022-01-27T13:47:12.526Z,2022-01-27T17:56:15Z,14942.474
45.5732854,6.7774659,2022-01-27T17:56:15Z,2022-01-27T20:05:36.150Z,7761.15
45.5741292,6.7789451,2022-01-27T20:10:43.297Z,2022-01-27T20:28:58.488Z,1095.191
45.5760212,6.7800804,2022-01-27T20:33:02.210Z,2022-01-28T00:35:51.567Z,14569.357
45.5741292,6.7789451,2022-01-28T00:39:53.588Z,2022-01-28T08:15:12.269Z,27318.681
45.5716411,6.7780509,2022-01-28T08:27:18.398Z,2022-01-28T08:33:21.478Z,363.08
45.5715484,6.7850275,2022-01-28T10:08:23.671Z,2022-01-28T10:18:28.786Z,605.115
45.5716411,6.7780509,2022-01-28T10:20:29.757Z,2022-01-28T10:28:33.879Z,484.122
45.5715484,6.7850275,2022-01-28T10:51:03.721Z,2022-01-28T12:04:05.270Z,4381.549
45.5500906,6.7634277,2022-01-28T12:58:31.476Z,2022-01-28T13:08:01.051Z,569.575
45.5505138,6.7865018,2022-01-28T13:33:22.307Z,2022-01-28T13:51:05.522Z,1063.215
45.5505138,6.7865018,2022-01-28T14:31:16.151Z,2022-01-28T15:09:27.517Z,2291.366
45.5741292,6.7789451,2022-01-28T16:04:21.353Z,2022-01-28T18:00:49.570Z,6988.217
45.575947,6.782761,2022-01-28T18:04:02.071Z,2022-01-28T19:03:11.865Z,3549.794
45.5741292,6.7789451,2022-01-28T19:07:13.895Z,2022-01-29T07:51:21Z,45847.105
45.5725676,6.7780143,2022-01-29T07:53:43.827Z,2022-01-29T08:03:52.787Z,608.96
45.5775258,6.785824,2022-01-29T08:17:00.740Z,2022-01-29T08:31:08.562Z,847.822
45.57322,6.77824,2022-01-29T08:41:13.497Z,2022-01-29T11:48:53.986Z,11260.489
45.5762718,6.7815733,2022-01-29T13:18:56.682Z,2022-01-29T14:14:11.799Z,3315.117
45.5732502,6.7776395,2022-01-29T14:41:56.717Z,2022-01-29T15:23:14.548Z,2477.831
45.5775258,6.785824,2022-01-29T18:46:43Z,2022-01-29T22:22:01.502Z,12918.502
46.990473,7.4770161,2022-01-30T03:18:51.475Z,2022-01-30T03:42:31Z,1419.525
48.3070742,7.7910764,2022-01-30T06:12:19.319Z,2022-01-30T06:37:07.669Z,1488.35
48.5627441,7.9584704,2022-01-30T07:11:34.657Z,2022-01-30T07:26:35.332Z,900.675
51.087665,9.4855044,2022-01-30T11:32:51.269Z,2022-01-30T12:03:19Z,1827.731
52.1277213,10.0513566,2022-01-30T14:20:14Z,2022-01-30T14:35:03.437Z,889.437
54.5008996,11.2262252,2022-01-30T18:13:38.114Z,2022-01-30T18:32:41.304Z,1143.19
54.500764,11.225843,2022-01-30T18:32:41.304Z,2022-01-30T19:04:24.791Z,1903.487
55.7855742,12.521381,2022-01-30T21:39:30.728Z,2022-01-30T21:44:48.808Z,318.08
55.782994,12.523918,2022-01-30T21:50:10.837Z,2022-01-31T13:34:02.161Z,56631.324
55.771057,12.504943,2022-01-31T13:42:06.323Z,2022-01-31T13:55:23.468Z,797.145
55.782994,12.523918,2022-01-31T14:03:27.612Z,2022-02-01T10:56:39.871Z,75192.259
55.7855742,12.521381,2022-02-01T11:06:41.919Z,2022-02-01T15:55:04.744Z,17302.825
55.799931,12.4530549,2022-02-01T16:18:42.971Z,2022-02-01T21:05:59Z,17236.029
55.782994,12.523918,2022-02-01T21:17:48.272Z,2022-02-02T11:45:06Z,52037.728
55.7855742,12.521381,2022-02-02T11:54:23.471Z,2022-02-02T13:51:51.064Z,7047.593
55.782994,12.523918,2022-02-02T14:06:58.404Z,2022-02-02T16:38:49.558Z,9111.154
55.7855742,12.521381,2022-02-02T16:43:50.580Z,2022-02-02T19:11:53.486Z,8882.906
55.782994,12.523918,2022-02-02T19:21:49.517Z,2022-02-03T06:49:52.395Z,41282.878
55.7855742,12.521381,2022-02-03T06:54:59.690Z,2022-02-03T10:48:02.997Z,13983.307
55.782994,12.523918,2022-02-03T11:03:06.105Z,2022-02-03T11:40:58.607Z,2272.502
55.7855742,12.521381,2022-02-03T11:50:30.953Z,2022-02-03T15:41:32.091Z,13861.138
55.782994,12.523918,2022-02-03T15:51:37.665Z,2022-02-03T16:00:24.985Z,527.32
55.7855742,12.521381,2022-02-03T16:05:30.766Z,2022-02-03T16:14:06.370Z,515.604
55.799931,12.4530549,2022-02-03T16:29:52.863Z,2022-02-03T21:23:37.512Z,17624.649
55.782994,12.523918,2022-02-03T21:36:42.608Z,2022-02-04T07:55:45.307Z,37142.699
55.7855742,12.521381,2022-02-04T08:04:25.896Z,2022-02-04T13:09:04.411Z,18278.515
55.782994,12.523918,2022-02-04T13:19:06.440Z,2022-02-04T13:48:55.375Z,1788.935
55.7855742,12.521381,2022-02-04T13:53:56.384Z,2022-02-04T17:10:57.473Z,11821.089
55.7681776,12.5028807,2022-02-04T17:20:07Z,2022-02-04T17:28:50Z,523.0
55.7658333,12.4891667,2022-02-04T17:35:04.514Z,2022-02-04T17:42:10.319Z,425.805
55.7723766,12.474596,2022-02-04T17:55:06.486Z,2022-02-04T20:53:00.615Z,10674.129
55.7812461,12.4835446,2022-02-04T21:04:44.884Z,2022-02-04T21:08:00.262Z,195.378
55.6778283,12.5708572,2022-02-04T21:44:01.843Z,2022-02-05T01:02:03.626Z,11881.783
55.6836692,12.571585,2022-02-05T01:15:58Z,2022-02-05T01:22:12Z,374.0
55.782994,12.523918,2022-02-05T02:21:44.352Z,2022-02-05T11:44:06.192Z,33741.84
55.7855742,12.521381,2022-02-05T11:49:45.155Z,2022-02-05T17:01:45Z,18719.845
55.782994,12.523918,2022-02-05T17:06:56.919Z,2022-02-06T12:52:11.842Z,71114.923
55.782994,12.523918,2022-02-06T13:12:14.180Z,2022-02-07T11:06:31.375Z,78857.195
55.7855742,12.521381,2022-02-07T11:21:34.456Z,2022-02-07T13:48:49.034Z,8834.578
55.782994,12.523918,2022-02-07T13:53:50.091Z,2022-02-07T15:05:39.148Z,4309.057
55.782994,12.523918,2022-02-07T15:31:43.108Z,2022-02-07T18:41:03.137Z,11360.029
55.782994,12.523918,2022-02-07T19:03:14.810Z,2022-02-08T10:29:37.747Z,55582.937
55.7855742,12.521381,2022-02-08T10:39:44.658Z,2022-02-08T11:04:44.441Z,1499.783
55.7855742,12.521381,2022-02-08T11:40:47.523Z,2022-02-08T15:19:46.288Z,13138.765
55.782994,12.523918,2022-02-08T15:32:29.418Z,2022-02-09T07:59:54.420Z,59245.002
55.7855742,12.521381,2022-02-09T08:11:48.454Z,2022-02-09T10:05:08.580Z,6800.126
55.782994,12.523918,2022-02-09T10:08:08.205Z,2022-02-09T15:52:31.674Z,20663.469
55.782994,12.523918,2022-02-09T16:17:43.252Z,2022-02-10T06:44:18.586Z,51995.334
55.7855742,12.521381,2022-02-10T06:54:17.067Z,2022-02-10T17:36:08.327Z,38511.26
55.782994,12.523918,2022-02-10T17:39:46.015Z,2022-02-11T06:45:11.200Z,47125.185
55.7855742,12.521381,2022-02-11T06:55:13.209Z,2022-02-11T10:35:55Z,13241.791
55.7855742,12.521381,2022-02-11T10:50:04.941Z,2022-02-11T11:32:58.958Z,2574.017
55.782994,12.523918,2022-02-11T11:38:45.409Z,2022-02-11T12:05:07.923Z,1582.514
55.7855742,12.521381,2022-02-11T12:10:10.031Z,2022-02-11T23:13:52Z,39821.969
55.782994,12.523918,2022-02-11T23:19:55.334Z,2022-02-12T12:25:05.619Z,47110.285
55.7993484,12.453431,2022-02-12T12:49:31.137Z,2022-02-12T23:31:04.317Z,38493.18
55.782994,12.523918,2022-02-12T23:57:57.729Z,2022-02-13T13:20:02.925Z,48125.196
55.7993484,12.453431,2022-02-13T13:45:07.983Z,2022-02-13T19:09:26.739Z,19458.756
55.782994,12.523918,2022-02-13T19:40:40Z,2022-02-14T06:50:28.630Z,40188.63
55.7855742,12.521381,2022-02-14T06:54:51.857Z,2022-02-14T10:36:04.136Z,13272.279
55.782994,12.523918,2022-02-14T10:47:10.887Z,2022-02-14T13:13:03.484Z,8752.597
55.7855742,12.521381,2022-02-14T13:23:05.501Z,2022-02-14T16:03:56.084Z,9650.583
55.782994,12.523918,2022-02-14T16:12:35.233Z,2022-02-15T09:15:51.433Z,61396.2
55.7855742,12.521381,2022-02-15T09:23:54.518Z,2022-02-15T09:48:56.663Z,1502.145
55.782994,12.523918,2022-02-15T09:54:43.559Z,2022-02-15T11:48:54.593Z,6851.034
55.7855742,12.521381,2022-02-15T11:58:57.897Z,2022-02-15T15:36:52.254Z,13074.357
55.782994,12.523918,2022-02-15T15:42:15.554Z,2022-02-15T16:08:08.691Z,1553.137
55.77567,12.5206401,2022-02-15T16:17:00Z,2022-02-15T16:36:53.912Z,1193.912
55.782994,12.523918,2022-02-15T16:47:58.327Z,2022-02-16T15:13:26.682Z,80728.355
55.782994,12.523918,2022-02-16T15:57:44.398Z,2022-02-17T08:35:30.650Z,59866.252
55.7855742,12.521381,2022-02-17T08:45:33.783Z,2022-02-17T18:00:45.476Z,33311.693
55.782994,12.523918,2022-02-17T18:05:38.851Z,2022-02-17T18:58:35.091Z,3176.24
55.7855742,12.521381,2022-02-17T19:02:02.662Z,2022-02-17T23:52:55.263Z,17452.601
55.782994,12.523918,2022-02-17T23:55:12.579Z,2022-02-18T11:41:06.954Z,42354.375
55.7838509,12.5184646,2022-02-18T11:49:58.687Z,2022-02-18T12:29:44.758Z,2386.071
55.782994,12.523918,2022-02-18T12:35:40.959Z,2022-02-18T12:49:47.984Z,847.025
55.7855742,12.521381,2022-02-18T12:52:22.840Z,2022-02-18T14:52:06.060Z,7183.22
55.782994,12.523918,2022-02-18T14:56:26.860Z,2022-02-18T16:12:58.692Z,4591.832
55.7855742,12.521381,2022-02-18T16:22:10.509Z,2022-02-18T17:01:47.066Z,2376.557
55.782994,12.523918,2022-02-18T17:11:49.091Z,2022-02-19T13:27:32.511Z,72943.42
55.7993484,12.453431,2022-02-19T13:51:31.509Z,2022-02-19T19:09:58.456Z,19106.947
55.782994,12.523918,2022-02-19T19:43:00.117Z,2022-02-21T07:16:48Z,128027.883
55.7855742,12.521381,2022-02-21T07:24:49.192Z,2022-02-21T11:11:29Z,13599.808
55.782994,12.523918,2022-02-21T11:18:01.040Z,2022-02-21T14:23:14.399Z,11113.359
55.782994,12.523918,2022-02-21T14:47:11.428Z,2022-02-22T08:20:32.442Z,63201.014
55.7855742,12.521381,2022-02-22T08:30:34.478Z,2022-02-22T09:43:14.662Z,4360.184
55.782994,12.523918,2022-02-22T09:48:55.198Z,2022-02-22T11:47:15.958Z,7100.76
55.7855742,12.521381,2022-02-22T11:51:51.373Z,2022-02-22T15:46:51.775Z,14100.402
55.782994,12.523918,2022-02-22T15:53:02Z,2022-02-22T17:58:23.017Z,7521.017
55.782994,12.523918,2022-02-22T18:19:33.608Z,2022-02-23T09:06:31.879Z,53218.271
55.782994,12.523918,2022-02-23T09:38:48.893Z,2022-02-23T16:51:49.616Z,25980.723
55.7855742,12.521381,2022-02-23T16:55:59.007Z,2022-02-23T19:53:53.719Z,10674.712
55.7855742,12.521381,2022-02-23T20:08:30.123Z,2022-02-23T21:46:12.907Z,5862.784
55.782994,12.523918,2022-02-23T21:51:34.280Z,2022-02-24T08:35:07.196Z,38612.916
55.7855742,12.521381,2022-02-24T08:40:08.188Z,2022-02-25T06:26:16.475Z,78368.287
55.782994,12.523918,2022-02-25T06:26:16.475Z,2022-02-25T06:45:47.434Z,1170.959
55.7855742,12.521381,2022-02-25T06:50:23.741Z,2022-02-25T10:03:13.935Z,11570.194
